"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-01",,,,,"1.5",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"14.4",",,W","3.9",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-02",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"4.4",",,W","1.7",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-03",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"6.7",",,W","2.8",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-04",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"8.3",",,W","1.7",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-05",,,,,"12.7",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"8.3",",,W","5.0",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-06",,,,,"0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"9.4",",,W","-0.5",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-07",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"1.1",",,W","-3.8",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-08",,,,,"4.3",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"7.2",",,W","1.1",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-09",,,,,"1.5",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"7.2",",,W","1.1",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-10",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"1.1",",,W","-2.1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-11",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"-1.0",",,W","-6.0",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-12",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"1.1",",,W","-6.6",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-13",,,,,"0.0","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"0.6",",,W","-3.8",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-14",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"0.0",",,W","-5.5",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-15",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"2.2",",,W","-3.8",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-16",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"3.9",",,W","-1.0",",,W",,,,,,,,,,,,,,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-17",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"0.6",",,W","-4.3",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-18",,,,,"1.3",",,W,2400","13.0",",,W,2400","30.0",",,W,2400",,,"3.9",",,W","-1.6",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-19",,,,,"7.4",",,W,2400","5.0",",,W,2400","0.0",",,W,2400",,,"2.8",",,W","0.0",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-20",,,,,"22.4",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"5.6",",,W","-9.9",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-21",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"-9.9",",,W","-15.5",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-22",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"-0.5",",,W","-10.5",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-23",,,,,"0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"11.1",",,W","-0.5",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-24",,,,,"33.8",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"15.0",",,W","1.7",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-25",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"4.4",",,W","-2.1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-26",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"1.7",",,W","-4.3",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-27",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"9.4",",,W","0.0",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-28",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"3.3",",,W","-3.8",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-29",,,,,"5.8",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"6.1",",,W","-3.8",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-30",,,,,"0.3",",,W,2400","10.0",",,W,2400","0.0",",,W,2400",,,"1.7",",,W","-14.3",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-01-31",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"-8.8",",,W","-16.6",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-01",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"-6.0",",,W","-11.6",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-02",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"1.1",",,W","-8.8",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-03",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"11.7",",,W","0.6",",,W",,,,,,,,,,,,,,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-04",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"16.1",",,W","5.0",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-05",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"18.3",",,W","6.7",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-06",,,,,"11.4",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"7.8",",,W","1.7",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-07",,,,,"1.8",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"6.7",",,W","3.9",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-08",,,,,"9.4",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"12.8",",,W","0.0",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-09",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"0.0",",,W","-4.9",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-10",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"1.7",",,W","-4.9",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-11",,,,,"0.0","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"3.3",",,W","-1.0",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-12",,,,,"19.1",",,W,2400","30.0",",,W,2400","0.0",",,W,2400",,,"2.2",",,W","-3.2",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,"    1",",,W",,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-13",,,,,"2.0",",,W,2400","0.0","T,,W,2400","30.0",",,W,2400",,,"5.0",",,W","0.6",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-14",,,,,"0.0","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"7.8",",,W","0.6",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-15",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"15.0",",,W","5.6",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-16",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"8.3",",,W","0.0",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-17",,,,,"1.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"3.3",",,W","-3.2",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-18",,,,,"2.3",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"5.6",",,W","-3.2",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-19",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"2.2",",,W","-4.9",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-20",,,,,"14.5",",,W,2400","33.0",",,W,2400","0.0",",,W,2400",,,"0.6",",,W","-3.2",",,W",,,,,,,,,,,"    1",",,W","    1",",,W",,,,,,,"    1",",,W",,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-21",,,,,"2.5",",,W,2400","0.0",",,W,2400","30.0",",,W,2400",,,"11.1",",,W","0.6",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,"    1",",,W",,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-22",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"6.7",",,W","2.2",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-23",,,,,"0.3",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"5.6",",,W","0.0",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-24",,,,,"14.7",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"8.3",",,W","2.2",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-25",,,,,"0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"6.1",",,W","-2.1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-26",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"2.2",",,W","-3.8",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-27",,,,,"0.0","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"-0.5",",,W","-4.9",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-28",,,,,"0.8",",,W,2400","3.0",",,W,2400","0.0","T,,W,2400",,,"2.8",",,W","-2.7",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-01",,,,,"2.8",",,W,2400","36.0",",,W,2400","30.0",",,W,2400",,,"1.7",",,W","-3.2",",,W",,,,,,,,,,,"    1",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-02",,,,,"13.5",",,W,2400","102.0",",,W,2400","100.0",",,W,2400",,,"5.0",",,W","-0.5",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-03",,,,,"13.2",",,W,2400","76.0",",,W,2400","30.0",",,W,2400",,,"5.6",",,W","0.6",",,W",,,,,,,,,,,"    1",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-04",,,,,"7.4",",,W,2400","51.0",",,W,2400","100.0",",,W,2400",,,"3.3",",,W","-2.1",",,W",,,,,,,,,,,"    1",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-05",,,,,"0.0",",,W,2400","0.0",",,W,2400","50.0",",,W,2400",,,"0.0",",,W","-6.6",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-06",,,,,"0.0","T,,W,2400","0.0","T,,W,2400","30.0",",,W,2400",,,"-3.2",",,W","-7.1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-07",,,,,"0.0",",,W,2400","0.0",",,W,2400","30.0",",,W,2400",,,"0.0",",,W","-7.7",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-08",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"3.9",",,W","-4.3",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-09",,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"9.4",",,W","1.1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-10",,,,,"13.7",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"6.1",",,W","1.7",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-11","4.1",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"11.7",",,W","3.9",",,W",,,"  340",",,W","   20",",,W","7.6",",,W","11.6",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-12","4.0",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"6.7",",,W","1.1",",,W",,,"  290",",,W","  290",",,W","7.6",",,W","13.4",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-13","1.1",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"9.4",",,W","0.0",",,W",,,"  130",",,W","  140",",,W","3.6",",,W","6.7",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-14","1.3",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"13.9",",,W","5.6",",,W",,,"  140",",,W","  150",",,W","4.5",",,W","8.5",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-15","1.0",",,W",,,"9.9",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"23.9",",,W","9.4",",,W",,,"  270",",,W","  230",",,W","6.3",",,W","10.3",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-16","4.5",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"14.4",",,W","2.8",",,W",,,"  280",",,W","  280",",,W","8.9",",,W","14.8",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-17","2.8",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"7.2",",,W","1.1",",,W",,,"  280",",,W","  280",",,W","6.3",",,W","9.8",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-18","0.9",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"7.8",",,W","0.0",",,W",,,"  310",",,W","  280",",,W","4.5",",,W","8.5",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-19","1.4",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"10.6",",,W","1.7",",,W",,,"  260",",,W","  280",",,W","4.5",",,W","8.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-20","1.3",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"11.7",",,W","2.8",",,W",,,"  200",",,W","  180",",,W","4.5",",,W","8.9",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-21","3.5",",,W",,,"19.1",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"7.8",",,W","5.0",",,W",,,"   50",",,W","   40",",,W","7.6",",,W","11.2",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-22","4.8",",,W",,,"17.3",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"9.4",",,W","3.3",",,W",,,"   40",",,W","   40",",,W","9.4",",,W","17.4",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-23","4.4",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"8.9",",,W","1.7",",,W",,,"  270",",,W","  260",",,W","10.3",",,W","16.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-24","2.0",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"15.6",",,W","3.3",",,W",,,"  260",",,W","  260",",,W","5.8",",,W","10.3",",,W",,,,,,,,,,,,,,
